2dgaussian301					关于高斯曲线逼近最小值的问题
aircraftRamAirTurbineAssembly_MultiDomain      	程序包里面有个冲压钢的图，另外定义了一大堆变量，没有其他功能
AMS_9B_12A 					是一个matlab的模块安装包，需要simulink支持，该模块用于模拟AMS算法
ASNread						具有读取ASN文件的功能，缺少样例文件，无法测试
BP						BP神经网络的实验
calcRealWorldFactorScores			关于因子载荷阵的最大似然估计的再分析
complex_pump_0_03				使用一个递归神经网络，对一个水泵进行建模
cprnd						计算切比雪夫中心的多面体问题
Dijkstra					Dijkstra算法求最短路径
directcoupledPMDCmotorload			模拟直接耦合PMDC电动机负载
Edmonds						二分图最大匹配算法
ejg_volatility_pumping				演示波动与风险资产注入
Everitt						抽油杆泵的诊断，图像演示，数据需要在内部修改、
fftsigma					快速傅里叶的计算与画图
fftsurf						对几种不同的表面双傅里叶级数画图表示
Fisher						Fisher判别法，可判断样本属于类别
Floyd						Floyd算法求图最短路径
GEpiv						列主元消去法
gibb						画图演示gibb现象
gibbsmotifsampler				在一组DNA序列中通过gibb抽样方法进行搜索
Hebb Learnning					Hebb学习算法，用于神经网络创建异联想器
HSP						HSP的各个参数控制，GUI界面
lanczosfilter					通过兰索斯滤波器在频率空间内过滤时间序列(FFT)
LengthJudge					距离判别法，用于判别样本类别
Lottery						某种彩票算法，应该是某个数学建模题
M						求矩阵行列式，特征值等小实验
Mhsx						求模糊等价矩阵
Nar 						在matlab下分析兰金循环
oil system					2012年暑假数学建模比赛抽油系统题的程序集合
padelog						找到N次多项式的一种爆炸形式
Phase Locked Loop				锁相循环，一个演示，显示了Simlink的模拟功能以及可执行的规范和设计
RBF						RBF神经网络，用于创建异联想器
Search Book					通过关键词查找书，矩阵查找法
ZXE						拟合函数并画图的一系列小实验
